match_id,kickoff_utc,team_a,team_a_iso3,team_b,team_b_iso3,stage,venue_city,venue_country,venue_altitude_m,goals_a,goals_b,winner_90min,close_a,close_draw,close_b,close_source
wc22-a-qat-ecu-20221120,2022-11-20T16:00:00Z,Qatar,qat,Ecuador,ecu,Group A,Al Khor,QA,12,0,2,b,3.40,3.10,2.30,Pinnacle (approx)
wc22-b-eng-irn-20221121,2022-11-21T13:00:00Z,England,eng,Iran,irn,Group B,Doha,QA,8,6,2,a,1.36,4.85,9.30,Pinnacle (approx)
wc22-a-sen-ned-20221121,2022-11-21T16:00:00Z,Senegal,sen,Netherlands,ned,Group A,Doha,QA,2,0,2,b,3.50,3.20,2.20,Pinnacle (approx)
wc22-b-usa-wal-20221121,2022-11-21T19:00:00Z,USA,usa,Wales,wal,Group B,Al Rayyan,QA,18,1,1,draw,2.60,3.10,2.95,Pinnacle (approx)
wc22-c-arg-sau-20221122,2022-11-22T10:00:00Z,Argentina,arg,Saudi Arabia,ksa,Group C,Lusail,QA,8,1,2,b,1.18,8.00,15.00,Pinnacle (closing)
wc22-d-den-tun-20221122,2022-11-22T13:00:00Z,Denmark,den,Tunisia,tun,Group D,Al Rayyan,QA,18,0,0,draw,1.65,3.65,5.80,Pinnacle (approx)
wc22-c-mex-pol-20221122,2022-11-22T16:00:00Z,Mexico,mex,Poland,pol,Group C,Doha,QA,8,0,0,draw,2.55,3.10,3.05,Pinnacle (approx)
wc22-d-fra-aus-20221122,2022-11-22T19:00:00Z,France,fra,Australia,aus,Group D,Al Wakrah,QA,8,4,1,a,1.36,4.85,9.30,Pinnacle (closing)
wc22-f-mar-cro-20221123,2022-11-23T10:00:00Z,Morocco,mar,Croatia,cro,Group F,Al Khor,QA,12,0,0,draw,5.40,3.10,1.74,Pinnacle (approx)
wc22-e-ger-jpn-20221123,2022-11-23T13:00:00Z,Germany,ger,Japan,jpn,Group E,Doha,QA,8,1,2,b,1.43,4.50,7.50,Pinnacle (closing)
wc22-e-esp-crc-20221123,2022-11-23T16:00:00Z,Spain,esp,Costa Rica,crc,Group E,Doha,QA,8,7,0,a,1.13,9.50,21.00,Pinnacle (approx)
wc22-f-bel-can-20221123,2022-11-23T19:00:00Z,Belgium,bel,Canada,can,Group F,Al Rayyan,QA,18,1,0,a,1.55,4.05,6.40,Pinnacle (approx)
wc22-g-sui-cmr-20221124,2022-11-24T10:00:00Z,Switzerland,sui,Cameroon,cmr,Group G,Al Wakrah,QA,8,1,0,a,1.83,3.45,4.95,Pinnacle (approx)
wc22-h-uru-kor-20221124,2022-11-24T13:00:00Z,Uruguay,uru,South Korea,kor,Group H,Al Rayyan,QA,18,0,0,draw,1.85,3.30,4.95,Pinnacle (approx)
wc22-h-por-gha-20221124,2022-11-24T16:00:00Z,Portugal,por,Ghana,gha,Group H,Doha,QA,8,3,2,a,1.43,4.40,8.30,Pinnacle (approx)
wc22-g-bra-srb-20221124,2022-11-24T19:00:00Z,Brazil,bra,Serbia,srb,Group G,Lusail,QA,8,2,0,a,1.51,4.30,7.20,Pinnacle (closing)
wc22-b-wal-irn-20221125,2022-11-25T10:00:00Z,Wales,wal,Iran,irn,Group B,Al Rayyan,QA,18,0,2,b,2.45,3.05,3.30,Pinnacle (approx)
wc22-a-qat-sen-20221125,2022-11-25T13:00:00Z,Qatar,qat,Senegal,sen,Group A,Doha,QA,8,1,3,b,4.10,3.30,1.93,Pinnacle (approx)
wc22-a-ned-ecu-20221125,2022-11-25T16:00:00Z,Netherlands,ned,Ecuador,ecu,Group A,Al Rayyan,QA,18,1,1,draw,1.63,3.85,5.65,Pinnacle (approx)
wc22-b-eng-usa-20221125,2022-11-25T19:00:00Z,England,eng,USA,usa,Group B,Al Khor,QA,12,0,0,draw,1.62,3.95,5.80,Pinnacle (closing)
wc22-d-tun-aus-20221126,2022-11-26T10:00:00Z,Tunisia,tun,Australia,aus,Group D,Al Wakrah,QA,8,0,1,b,2.30,3.20,3.50,Pinnacle (approx)
wc22-c-pol-sau-20221126,2022-11-26T13:00:00Z,Poland,pol,Saudi Arabia,ksa,Group C,Doha,QA,8,2,0,a,1.74,3.50,5.40,Pinnacle (approx)
wc22-d-fra-den-20221126,2022-11-26T16:00:00Z,France,fra,Denmark,den,Group D,Doha,QA,8,2,1,a,1.93,3.30,4.30,Pinnacle (approx)
wc22-c-arg-mex-20221126,2022-11-26T19:00:00Z,Argentina,arg,Mexico,mex,Group C,Lusail,QA,8,2,0,a,1.55,3.95,7.80,Pinnacle (approx)
wc22-e-jpn-crc-20221127,2022-11-27T10:00:00Z,Japan,jpn,Costa Rica,crc,Group E,Al Rayyan,QA,18,0,1,b,1.85,3.40,4.85,Pinnacle (approx)
wc22-f-bel-mar-20221127,2022-11-27T13:00:00Z,Belgium,bel,Morocco,mar,Group F,Doha,QA,8,0,2,b,1.65,3.85,5.50,Pinnacle (approx)
wc22-f-cro-can-20221127,2022-11-27T16:00:00Z,Croatia,cro,Canada,can,Group F,Al Khor,QA,12,4,1,a,1.78,3.60,5.05,Pinnacle (approx)
wc22-e-esp-ger-20221127,2022-11-27T19:00:00Z,Spain,esp,Germany,ger,Group E,Al Khor,QA,12,1,1,draw,2.95,3.30,2.45,Pinnacle (closing)
wc22-g-cmr-srb-20221128,2022-11-28T10:00:00Z,Cameroon,cmr,Serbia,srb,Group G,Al Wakrah,QA,8,3,3,draw,3.85,3.30,2.05,Pinnacle (approx)
wc22-h-kor-gha-20221128,2022-11-28T13:00:00Z,South Korea,kor,Ghana,gha,Group H,Al Rayyan,QA,18,2,3,b,2.15,3.30,3.55,Pinnacle (approx)
wc22-g-bra-sui-20221128,2022-11-28T16:00:00Z,Brazil,bra,Switzerland,sui,Group G,Doha,QA,8,1,0,a,1.55,3.85,7.50,Pinnacle (approx)
